交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,CJ1,201503,-,-,-,-,-,-,-,17.7,2,-,-,19.05,17.95,,
2015/1/6,CJ1,201503,-,-,-,-,-,-,-,17.25,2,-,-,19.05,17.95,,
2015/1/7,CJ1,201503,-,-,-,-,-,-,-,17.05,2,-,-,19.05,17.95,,
2015/1/8,CJ1,201503,-,-,-,-,-,-,-,17.35,2,-,-,19.05,17.95,,
2015/1/9,CJ1,201503,-,-,-,-,-,-,-,17.4,2,-,-,19.05,17.95,,
2015/1/12,CJ1,201503,-,-,-,-,-,-,-,17.3,2,-,-,19.05,17.95,,
2015/1/13,CJ1,201503,-,-,-,-,-,-,-,17.45,2,-,-,19.05,17.95,,
2015/1/14,CJ1,201503,-,-,-,-,-,-,-,17.25,2,-,-,19.05,17.95,,
2015/1/15,CJ1,201503,-,-,-,-,-,-,-,17.2,2,-,-,19.05,17.95,,
2015/1/16,CJ1,201503,-,-,-,-,-,-,-,17.2,2,-,-,19.05,17.95,,
2015/1/19,CJ1,201503,-,-,-,-,-,-,-,17.35,2,-,-,19.05,17.95,,
2015/1/20,CJ1,201503,-,-,-,-,-,-,-,17.3,2,-,-,19.05,17.95,,
2015/1/21,CJ1,201503,-,-,-,-,-,-,-,17.5,2,17.25,17.6,19.05,17.95,,
2015/1/22,CJ1,201503,17.55,17.55,17.55,17.55,0.05,0.29%,5,17.55,7,17.45,17.8,19.05,17.55,,
2015/1/23,CJ1,201503,-,-,-,-,-,-,-,17.75,7,17.55,-,19.05,17.55,,
2015/1/26,CJ1,201503,-,-,-,-,-,-,-,17.7,7,17.5,17.85,19.05,17.55,,
2015/1/27,CJ1,201503,-,-,-,-,-,-,-,17.75,7,17.6,17.9,19.05,17.55,,
2015/1/28,CJ1,201503,17.55,17.55,17.55,17.55,-0.2,-1.13%,10,17.65,7,-,17.85,19.05,17.55,,
2015/1/29,CJ1,201503,17.45,17.5,17.45,17.5,-0.15,-0.85%,20,17.5,22,17.3,-,19.05,17.45,,
2015/1/30,CJ1,201503,-,-,-,-,-,-,-,17.55,22,17.35,17.7,19.05,17.45,,
2015/2/2,CJ1,201503,17.55,17.55,17.55,17.55,0,0.00%,5,17.55,22,17.45,17.75,19.05,17.45,,
2015/2/3,CJ1,201503,17.5,17.5,17.5,17.5,-0.05,-0.28%,1,17.5,23,17.5,17.85,19.05,17.45,,
2015/2/4,CJ1,201503,-,-,-,-,-,-,-,17.65,23,17.6,17.95,19.05,17.45,,
2015/2/5,CJ1,201503,17.75,17.75,17.75,17.75,0.1,0.57%,5,17.75,23,17.65,18,19.05,17.45,,
2015/2/6,CJ1,201503,-,-,-,-,-,-,-,17.75,23,17.6,17.95,19.05,17.45,,
2015/2/9,CJ1,201503,-,-,-,-,-,-,-,17.55,23,17.6,17.9,19.05,17.45,,
2015/2/10,CJ1,201503,-,-,-,-,-,-,-,17.8,23,17.6,17.95,19.05,17.45,,
2015/2/11,CJ1,201503,-,-,-,-,-,-,-,17.8,23,17.65,18,19.05,17.45,,
2015/2/12,CJ1,201503,-,-,-,-,-,-,-,17.7,23,17.5,-,19.05,17.45,,
2015/2/13,CJ1,201503,-,-,-,-,-,-,-,17.7,23,17.45,-,19.05,17.45,,
2015/2/24,CJ1,201503,-,-,-,-,-,-,-,18.0,23,17.8,18.1,19.05,17.45,,
2015/2/25,CJ1,201503,-,-,-,-,-,-,-,18.1,23,-,18.25,19.05,17.45,,
2015/2/26,CJ1,201503,18.1,18.1,18.1,18.1,0,0.00%,5,18.1,23,17.9,-,19.05,17.45,,
2015/3/2,CJ1,201503,-,-,-,-,-,-,-,17.9,23,17.7,18.1,19.05,17.45,,
2015/3/3,CJ1,201503,-,-,-,-,-,-,-,17.85,23,17.65,18.05,19.05,17.45,,
2015/3/4,CJ1,201503,-,-,-,-,-,-,-,17.85,23,17.65,18,19.05,17.45,,
2015/3/5,CJ1,201503,17.8,17.8,17.8,17.8,-0.05,-0.28%,5,17.75,23,17.55,17.85,19.05,17.45,,
2015/3/6,CJ1,201503,17.85,17.85,17.85,17.85,0.1,0.56%,5,17.85,23,-,18.05,19.05,17.45,,
2015/3/9,CJ1,201503,-,-,-,-,-,-,-,17.65,23,17.5,17.85,19.05,17.45,,
2015/3/10,CJ1,201503,-,-,-,-,-,-,-,17.6,23,17.45,17.8,19.05,17.45,,
2015/3/11,CJ1,201503,-,-,-,-,-,-,-,17.5,23,17.3,17.65,19.05,17.45,,
2015/3/12,CJ1,201503,-,-,-,-,-,-,-,17.6,23,17.45,17.75,19.05,17.45,,
2015/3/13,CJ1,201503,17.65,17.65,17.65,17.65,0.05,0.28%,5,17.6,28,17.45,17.75,19.05,17.45,,
2015/3/16,CJ1,201503,-,-,-,-,-,-,-,17.65,28,17.45,17.75,19.05,17.45,,
2015/3/17,CJ1,201503,-,-,-,-,-,-,-,17.65,28,17.45,17.8,19.05,17.45,,
2015/3/18,CJ1,201503,-,-,-,-,-,-,-,0.0,26,-,-,19.05,17.45,,
2015/8/13,CJ1,201508,15.7,15.7,15.7,15.7,-0.2,-1.26%,2,15.95,74,-,-,18.25,15.7,,
2015/8/13,CJ1,201509,-,-,-,-,-,-,-,16.0,124,15.9,-,18.25,17.35,,
2015/8/13,CJ1,201603,16,16,15.9,15.9,-0.2,-1.24%,1521,15.9,94,-,-,17.7,15.9,,
2015/8/14,CJ1,201508,15.95,15.95,15.95,15.95,0,0.00%,1,15.95,73,15.95,-,18.25,15.7,,
2015/8/14,CJ1,201509,-,-,-,-,-,-,-,16.0,124,15.95,-,18.25,17.35,,
2015/8/14,CJ1,201603,-,-,-,-,-,-,-,15.9,94,-,-,17.7,15.9,,
2015/8/17,CJ1,201508,-,-,-,-,-,-,-,15.95,73,-,-,18.25,15.7,,
2015/8/17,CJ1,201509,-,-,-,-,-,-,-,16.0,124,-,-,18.25,17.35,,
2015/8/17,CJ1,201603,-,-,-,-,-,-,-,15.9,94,-,-,17.7,15.9,,
2015/8/18,CJ1,201508,15.75,15.75,15.7,15.7,-0.25,-1.57%,6,15.65,67,-,-,18.25,15.7,,
2015/8/18,CJ1,201509,-,-,-,-,-,-,-,15.7,124,-,-,18.25,17.35,,
2015/8/18,CJ1,201603,-,-,-,-,-,-,-,15.6,94,-,-,17.7,15.9,,
2015/8/19,CJ1,201508,15.1,15.1,15.05,15.05,-0.6,-3.83%,10,0.0,59,-,15.65,18.25,15.05,,
2015/8/19,CJ1,201509,-,-,-,-,-,-,-,15.1,124,15,-,18.25,17.35,,
2015/8/19,CJ1,201603,-,-,-,-,-,-,-,15.0,94,-,-,17.7,15.9,,
2015/8/20,CJ1,201509,15.05,15.05,15.05,15.05,-0.05,-0.33%,18,15.05,124,-,-,18.25,15.05,,
2015/8/20,CJ1,201603,-,-,-,-,-,-,-,14.95,94,-,-,17.7,15.9,,
2015/8/21,CJ1,201509,-,-,-,-,-,-,-,14.95,124,-,-,18.25,15.05,,
2015/8/21,CJ1,201603,-,-,-,-,-,-,-,14.85,94,-,-,17.7,15.9,,
2015/8/24,CJ1,201509,14.7,14.7,14.7,14.7,-0.25,-1.67%,1,14.7,124,-,-,18.25,14.7,,
2015/8/24,CJ1,201603,-,-,-,-,-,-,-,14.6,94,-,-,17.7,15.9,,
2015/8/25,CJ1,201509,14.75,14.8,14.75,14.8,0.1,0.68%,16,14.95,124,-,-,18.25,14.7,,
2015/8/25,CJ1,201603,-,-,-,-,-,-,-,14.85,94,-,-,17.7,15.9,,
2015/8/26,CJ1,201509,-,-,-,-,-,-,-,14.95,124,-,-,18.25,14.7,,
2015/8/26,CJ1,201603,-,-,-,-,-,-,-,14.85,94,-,-,17.7,15.9,,
2015/8/27,CJ1,201509,15,15,15,15,0.05,0.33%,5,15.0,124,-,-,18.25,14.7,,
2015/8/27,CJ1,201603,-,-,-,-,-,-,-,14.9,94,-,-,17.7,15.9,,
2015/8/28,CJ1,201509,15.15,15.2,15.05,15.1,0.1,0.67%,37,15.3,150,-,-,18.25,14.7,,
2015/8/28,CJ1,201603,-,-,-,-,-,-,-,15.2,94,-,-,17.7,15.9,,
2015/8/31,CJ1,201509,15,15.1,14.85,14.85,-0.45,-2.94%,28,14.85,177,-,-,18.25,14.7,,
2015/8/31,CJ1,201603,-,-,-,-,-,-,-,14.75,94,-,-,17.7,15.9,,
2015/9/1,CJ1,201509,-,-,-,-,-,-,-,14.95,177,-,-,18.25,14.7,,
2015/9/1,CJ1,201603,-,-,-,-,-,-,-,14.85,94,-,-,17.7,15.9,,
2015/9/2,CJ1,201509,-,-,-,-,-,-,-,15.05,177,-,-,18.25,14.7,,
2015/9/2,CJ1,201603,-,-,-,-,-,-,-,14.95,94,-,-,17.7,15.9,,
2015/9/3,CJ1,201509,-,-,-,-,-,-,-,15.15,177,-,-,18.25,14.7,,
2015/9/3,CJ1,201603,-,-,-,-,-,-,-,15.05,94,-,-,17.7,15.9,,
2015/9/4,CJ1,201509,-,-,-,-,-,-,-,15.05,177,-,-,18.25,14.7,,
2015/9/4,CJ1,201603,-,-,-,-,-,-,-,14.95,94,-,-,17.7,15.9,,
2015/9/7,CJ1,201509,15.15,15.15,15.15,15.15,0.1,0.66%,2,15.15,179,-,-,18.25,14.7,,
2015/9/7,CJ1,201603,-,-,-,-,-,-,-,15.05,94,-,-,17.7,15.9,,
2015/9/8,CJ1,201509,-,-,-,-,-,-,-,15.2,179,-,-,18.25,14.7,,
2015/9/8,CJ1,201603,-,-,-,-,-,-,-,15.1,94,-,-,17.7,15.9,,
2015/9/9,CJ1,201509,-,-,-,-,-,-,-,15.55,179,14.8,16.6,18.25,14.7,,
2015/9/9,CJ1,201603,-,-,-,-,-,-,-,15.45,94,-,-,17.7,15.9,,
2015/9/10,CJ1,201509,15.5,15.5,15.5,15.5,-0.05,-0.32%,10,15.6,169,15.4,15.7,18.25,14.7,,
2015/9/10,CJ1,201603,-,-,-,-,-,-,-,15.5,94,-,-,17.7,15.9,,
2015/9/11,CJ1,201509,-,-,-,-,-,-,-,15.7,169,15.5,15.8,18.25,14.7,,
2015/9/11,CJ1,201603,-,-,-,-,-,-,-,15.6,94,-,-,17.7,15.9,,
2015/9/14,CJ1,201509,-,-,-,-,-,-,-,15.7,169,15.5,-,18.25,14.7,,
2015/9/14,CJ1,201603,-,-,-,-,-,-,-,15.6,94,-,-,17.7,15.9,,
2015/9/15,CJ1,201509,-,-,-,-,-,-,-,15.65,169,15.45,15.8,18.25,14.7,,
2015/9/15,CJ1,201603,15.6,15.6,15.6,15.6,0,0.00%,94,15.6,0,-,-,17.7,15.6,,
2015/9/16,CJ1,201509,-,-,-,-,-,-,-,0.0,169,-,-,18.25,14.7,,
交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2016/8/18,CJ1,201609,16.4,16.4,16,16.15,0.1,0.62%,294,16.2,407,16.05,16.2,17.9,16,,
2016/8/18,CJ1,201612,-,-,-,-,-,-,-,16.25,4,-,-,14.25,14.25,,
2016/8/19,CJ1,201609,16.15,16.15,16.05,16.05,-0.15,-0.93%,50,16.1,401,16,16.15,17.9,16,,
2016/8/19,CJ1,201612,-,-,-,-,-,-,-,16.15,4,-,-,14.25,14.25,,
2016/8/22,CJ1,201609,15.85,15.85,15.75,15.75,-0.35,-2.17%,297,15.75,124,15.7,15.8,17.9,15.75,,
2016/8/22,CJ1,201612,-,-,-,-,-,-,-,15.8,4,-,-,14.25,14.25,,
2016/8/23,CJ1,201609,15.8,16,15.8,16,0.25,1.59%,43,16.0,133,15.7,16.35,17.9,15.75,,
2016/8/23,CJ1,201612,16,16,16,16,0.2,1.27%,1,16.0,5,-,-,16,14.25,,
2016/8/24,CJ1,201609,16.05,16.05,16,16,0,0.00%,15,16.0,118,15.7,16.05,17.9,15.75,,
2016/8/24,CJ1,201612,-,-,-,-,-,-,-,16.0,5,14.9,17.1,16,14.25,,
2016/8/25,CJ1,201609,15.95,15.95,15.95,15.95,-0.05,-0.31%,2,16.1,118,15.65,16.55,17.9,15.75,,
2016/8/25,CJ1,201612,-,-,-,-,-,-,-,16.1,5,-,-,16,14.25,,
2016/8/26,CJ1,201609,16.15,16.15,16.15,16.15,0.05,0.31%,1,16.15,117,15.7,16.55,17.9,15.75,,
2016/8/26,CJ1,201612,16.15,16.15,16.15,16.15,0.05,0.31%,5,16.15,10,-,-,16.15,14.25,,
2016/8/29,CJ1,201609,16.15,16.15,16.1,16.15,0,0.00%,30,16.2,109,15.8,16.6,17.9,15.75,,
2016/8/29,CJ1,201612,16.2,16.2,16.2,16.2,0.05,0.31%,5,16.2,15,-,-,16.2,14.25,,
2016/8/30,CJ1,201609,16.15,16.25,16.15,16.2,0,0.00%,55,16.2,101,15.75,16.25,17.9,15.75,,
2016/8/30,CJ1,201612,16.2,16.2,16.2,16.2,0,0.00%,5,16.2,20,-,-,16.2,14.25,,
2016/8/31,CJ1,201609,16.2,16.2,16.1,16.1,-0.1,-0.62%,10,16.15,104,15.7,16.55,17.9,15.75,,
2016/8/31,CJ1,201612,-,-,-,-,-,-,-,16.15,20,-,-,16.2,14.25,,
2016/9/1,CJ1,201609,15.95,15.95,15.95,15.95,-0.2,-1.24%,5,15.95,101,15.55,16.4,17.9,15.75,,
2016/9/1,CJ1,201612,-,-,-,-,-,-,-,15.95,20,-,-,16.2,14.25,,
2016/9/2,CJ1,201609,-,-,-,-,-,-,-,16.05,101,15.65,16.5,17.9,15.75,,
2016/9/2,CJ1,201612,-,-,-,-,-,-,-,16.05,20,-,-,16.2,14.25,,
2016/9/5,CJ1,201609,16.15,16.15,16.15,16.15,0.1,0.62%,11,16.2,95,15.85,16.65,17.9,15.75,,
2016/9/5,CJ1,201612,-,-,-,-,-,-,-,16.2,20,-,-,16.2,14.25,,
2016/9/6,CJ1,201609,16.25,16.3,16.25,16.25,0.05,0.31%,25,16.25,101,15.95,16.75,17.9,15.75,,
2016/9/6,CJ1,201612,-,-,-,-,-,-,-,16.25,20,-,-,16.2,14.25,,
2016/9/7,CJ1,201609,16.35,16.4,16.35,16.35,0.1,0.62%,8,16.35,103,16.1,16.75,17.9,15.75,,
2016/9/7,CJ1,201612,-,-,-,-,-,-,-,16.35,20,-,-,16.2,14.25,,
2016/9/8,CJ1,201609,16.45,16.45,16.45,16.45,0.1,0.61%,12,16.45,111,16.4,16.5,17.9,15.75,,
2016/9/8,CJ1,201612,-,-,-,-,-,-,-,16.45,20,15.2,17.5,16.2,14.25,,
2016/9/9,CJ1,201609,16.35,16.35,16.35,16.35,-0.1,-0.61%,10,16.35,111,16.3,16.4,17.9,15.75,,
2016/9/9,CJ1,201612,-,-,-,-,-,-,-,16.35,20,-,-,16.2,14.25,,
2016/9/10,CJ1,201609,16.2,16.2,16.2,16.2,-0.15,-0.92%,12,16.2,106,-,-,17.9,15.75,,
2016/9/10,CJ1,201612,-,-,-,-,-,-,-,16.2,20,-,-,16.2,14.25,,
2016/9/12,CJ1,201609,16.1,16.1,16.05,16.05,-0.15,-0.93%,15,16.05,110,15.7,16.3,17.9,15.75,,
2016/9/12,CJ1,201612,-,-,-,-,-,-,-,16.05,20,-,-,16.2,14.25,,
2016/9/13,CJ1,201609,-,-,-,-,-,-,-,16.0,110,15.75,16.35,17.9,15.75,,
2016/9/13,CJ1,201612,-,-,-,-,-,-,-,16.0,20,-,-,16.2,14.25,,
2016/9/14,CJ1,201609,16,16,16,16,0,0.00%,10,15.85,115,15.6,16.2,17.9,15.75,,
2016/9/14,CJ1,201612,-,-,-,-,-,-,-,15.85,20,-,-,16.2,14.25,,
2016/9/19,CJ1,201609,16.1,16.15,16.1,16.15,0.3,1.89%,15,16.2,115,16,16.5,17.9,15.75,,
2016/9/19,CJ1,201612,-,-,-,-,-,-,-,16.2,20,-,-,16.2,14.25,,
2016/9/20,CJ1,201609,16.25,16.25,16.25,16.25,0.05,0.31%,7,16.25,118,15.1,16.3,17.9,15.75,,
2016/9/20,CJ1,201612,-,-,-,-,-,-,-,16.25,20,15.05,17.35,16.2,14.25,,
2016/9/21,CJ1,201609,-,-,-,-,-,-,-,0.0,109,15.1,17.4,17.9,15.75,,
2016/9/21,CJ1,201612,-,-,-,-,-,-,-,16.25,20,-,-,16.2,14.25,,
2016/9/22,CJ1,201612,16.2,16.2,16.2,16.2,-0.05,-0.31%,15,16.3,20,16.05,-,16.2,14.25,,
2016/9/23,CJ1,201612,-,-,-,-,-,-,-,16.35,20,-,16.5,16.2,14.25,,
2016/9/26,CJ1,201612,-,-,-,-,-,-,-,16.3,20,-,-,16.2,14.25,,
2016/9/29,CJ1,201612,-,-,-,-,-,-,-,16.3,20,-,-,16.2,14.25,,
2016/9/30,CJ1,201612,-,-,-,-,-,-,-,16.05,20,-,-,16.2,14.25,,
2016/10/3,CJ1,201612,16.15,16.15,16.15,16.15,0.1,0.62%,5,16.15,24,-,16.15,16.2,14.25,,
2016/10/4,CJ1,201612,16.2,16.25,16.2,16.25,0.1,0.62%,15,16.25,20,-,16.3,16.25,14.25,,
2016/10/5,CJ1,201612,-,-,-,-,-,-,-,16.25,20,-,16.25,16.25,14.25,,
2016/10/6,CJ1,201612,-,-,-,-,-,-,-,16.3,20,-,-,16.25,14.25,,
2016/10/7,CJ1,201612,16.15,16.15,16.1,16.1,-0.2,-1.23%,2,16.1,18,16.05,17.45,16.25,14.25,,
2016/10/11,CJ1,201612,16.1,16.1,16.1,16.1,0,0.00%,5,16.1,18,-,-,16.25,14.25,,
2016/10/12,CJ1,201612,-,-,-,-,-,-,-,16.1,18,14.95,17.25,16.25,14.25,,
2016/10/13,CJ1,201612,-,-,-,-,-,-,-,16.15,18,-,-,16.25,14.25,,
2016/10/14,CJ1,201612,-,-,-,-,-,-,-,16.0,18,-,-,16.25,14.25,,
2016/10/17,CJ1,201612,15.9,15.9,15.9,15.9,-0.1,-0.63%,1,16.05,19,-,-,16.25,14.25,,
2016/10/18,CJ1,201612,16.05,16.05,16.05,16.05,0,0.00%,10,16.15,14,16,16.1,16.25,14.25,,
2016/10/19,CJ1,201612,16.15,16.15,16.15,16.15,0,0.00%,5,16.15,14,-,-,16.25,14.25,,
2016/10/20,CJ1,201612,-,-,-,-,-,-,-,16.1,14,15.35,16.75,16.25,14.25,,
2016/10/21,CJ1,201612,16.1,16.1,16.1,16.1,0,0.00%,10,16.1,24,14.95,16.15,16.25,14.25,,
2016/10/24,CJ1,201612,16.05,16.05,16.05,16.05,-0.05,-0.31%,1,16.05,23,15.35,16.75,16.25,14.25,,
2016/10/25,CJ1,201612,-,-,-,-,-,-,-,16.1,23,15,17.1,16.25,14.25,,
2016/10/26,CJ1,201612,16.05,16.05,16.05,16.05,-0.05,-0.31%,1,16.05,22,16,17.2,16.25,14.25,,
2016/10/27,CJ1,201612,-,-,-,-,-,-,-,16.0,22,15.3,16.7,16.25,14.25,,
2016/10/28,CJ1,201612,16,16,15.95,16,0,0.00%,15,16.0,12,15.35,16.75,16.25,14.25,,
2016/10/31,CJ1,201612,15.95,16.05,15.95,16.05,0.05,0.31%,10,16.05,17,14.9,16.1,16.25,14.25,,
2016/11/1,CJ1,201612,16,16,16,16,-0.05,-0.31%,6,16.0,11,15.95,17.1,16.25,14.25,,
2016/11/2,CJ1,201612,-,-,-,-,-,-,-,15.95,11,15.25,16.65,16.25,14.25,,
2016/11/3,CJ1,201612,15.95,15.95,15.95,15.95,0,0.00%,5,15.9,16,15.2,16.6,16.25,14.25,,
2016/11/4,CJ1,201612,-,-,-,-,-,-,-,15.85,16,14.85,16.95,16.25,14.25,,
2016/11/7,CJ1,201612,-,-,-,-,-,-,-,15.9,16,15.25,16.65,16.25,14.25,,
2016/11/8,CJ1,201612,-,-,-,-,-,-,-,16.05,16,15.3,16.65,16.25,14.25,,
2016/11/9,CJ1,201612,-,-,-,-,-,-,-,15.75,16,15.05,16.4,16.25,14.25,,
2016/11/10,CJ1,201612,-,-,-,-,-,-,-,15.9,16,14.7,16.8,16.25,14.25,,
2016/11/11,CJ1,201612,-,-,-,-,-,-,-,15.65,16,15.35,15.85,16.25,14.25,,
2016/11/14,CJ1,201612,-,-,-,-,-,-,-,15.65,16,15.35,15.85,16.25,14.25,,
2016/11/15,CJ1,201612,-,-,-,-,-,-,-,15.65,16,15.35,15.85,16.25,14.25,,
2016/11/16,CJ1,201612,-,-,-,-,-,-,-,15.65,16,15.45,15.95,16.25,14.25,,
2016/11/17,CJ1,201612,-,-,-,-,-,-,-,15.6,16,15.4,15.9,16.25,14.25,,
2016/11/18,CJ1,201612,-,-,-,-,-,-,-,15.6,16,14.55,16.65,16.25,14.25,,
2016/11/21,CJ1,201612,-,-,-,-,-,-,-,15.65,16,14.55,16.65,16.25,14.25,,
2016/11/22,CJ1,201612,-,-,-,-,-,-,-,15.75,16,15.5,16,16.25,14.25,,
2016/11/23,CJ1,201612,-,-,-,-,-,-,-,15.85,16,15.6,16.1,16.25,14.25,,
2016/11/24,CJ1,201612,-,-,-,-,-,-,-,15.85,16,15.75,15.9,16.25,14.25,,
2016/11/25,CJ1,201612,-,-,-,-,-,-,-,15.95,16,14.8,16.9,16.25,14.25,,
2016/11/28,CJ1,201612,-,-,-,-,-,-,-,16.05,16,14.9,17,16.25,14.25,,
2016/11/29,CJ1,201612,-,-,-,-,-,-,-,16.0,16,15.75,16.25,16.25,14.25,,
2016/11/30,CJ1,201612,-,-,-,-,-,-,-,16.2,16,15.9,16.4,16.25,14.25,,
2016/12/1,CJ1,201612,-,-,-,-,-,-,-,16.15,16,15.1,17.3,16.25,14.25,,
2016/12/2,CJ1,201612,-,-,-,-,-,-,-,16.05,16,15.05,17.25,16.25,14.25,,
2016/12/5,CJ1,201612,-,-,-,-,-,-,-,16.05,16,15.75,16.3,16.25,14.25,,
2016/12/6,CJ1,201612,-,-,-,-,-,-,-,16.15,16,15,17.1,16.25,14.25,,
2016/12/7,CJ1,201612,-,-,-,-,-,-,-,16.2,16,15.95,16.45,16.25,14.25,,
2016/12/8,CJ1,201612,-,-,-,-,-,-,-,16.45,16,16.2,16.7,16.25,14.25,,
2016/12/9,CJ1,201612,-,-,-,-,-,-,-,16.4,16,16.2,16.7,16.25,14.25,,
2016/12/12,CJ1,201612,-,-,-,-,-,-,-,16.45,16,15.3,17.5,16.25,14.25,,
2016/12/13,CJ1,201612,-,-,-,-,-,-,-,16.5,16,16.25,16.75,16.25,14.25,,
2016/12/14,CJ1,201612,-,-,-,-,-,-,-,16.4,16,16.2,16.7,16.25,14.25,,
2016/12/15,CJ1,201612,-,-,-,-,-,-,-,16.45,16,16.15,16.65,16.25,14.25,,
2016/12/16,CJ1,201612,-,-,-,-,-,-,-,16.35,16,15.35,17.55,16.25,14.25,,
2016/12/19,CJ1,201612,-,-,-,-,-,-,-,16.3,16,16.05,16.55,16.25,14.25,,
2016/12/20,CJ1,201612,16.2,16.2,16.2,16.2,-0.1,-0.61%,5,16.2,11,16.05,16.55,16.25,14.25,,
2016/12/21,CJ1,201612,-,-,-,-,-,-,-,0,7,-,-,16.25,14.25,,
交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2017/8/17,CJ1,201709,16.45,16.45,16.45,16.45,0,0.00%,3,16.6,147,-,16.7,18.5,16.45,,一般,,
2017/8/18,CJ1,201709,16.55,16.55,16.55,16.55,-0.05,-0.30%,1,16.45,146,-,16.6,18.5,16.45,,一般,,
2017/8/21,CJ1,201709,16.45,16.45,15.95,16.45,0,0.00%,13,16.45,150,15.7,16.45,18.5,15.95,,一般,,
2017/8/22,CJ1,201709,16.5,16.5,16.4,16.45,0,0.00%,76,16.45,179,-,16.5,18.5,15.95,,一般,,
2017/8/23,CJ1,201709,16.45,16.45,16.4,16.4,-0.05,-0.30%,90,16.4,127,-,16.45,18.5,15.95,,一般,,
2017/8/24,CJ1,201709,16.55,16.55,16.55,16.55,0.15,0.91%,28,16.6,99,-,-,18.5,15.95,,一般,,
2017/8/25,CJ1,201709,-,-,-,-,-,-,0,16.6,99,-,-,18.5,15.95,,一般,,
2017/8/28,CJ1,201709,-,-,-,-,-,-,0,16.65,99,-,-,18.5,15.95,,一般,,
2017/8/29,CJ1,201709,-,-,-,-,-,-,0,16.75,99,16.6,-,18.5,15.95,,一般,,
2017/8/30,CJ1,201709,-,-,-,-,-,-,0,16.75,99,-,-,18.5,15.95,,一般,,
2017/8/31,CJ1,201709,16.7,16.7,16.7,16.7,-0.05,-0.30%,1,16.75,100,-,16.75,18.5,15.95,,一般,,
2017/9/1,CJ1,201709,-,-,-,-,-,-,0,16.7,100,-,-,18.5,15.95,,一般,,
2017/9/4,CJ1,201709,-,-,-,-,-,-,0,16.55,100,-,-,18.5,15.95,,一般,,
2017/9/5,CJ1,201709,-,-,-,-,-,-,0,16.65,100,-,-,18.5,15.95,,一般,,
2017/9/6,CJ1,201709,-,-,-,-,-,-,0,16.6,100,-,-,18.5,15.95,,一般,,
2017/9/7,CJ1,201709,-,-,-,-,-,-,0,16.55,100,16.35,-,18.5,15.95,,一般,,
2017/9/8,CJ1,201709,-,-,-,-,-,-,0,16.5,100,16.3,-,18.5,15.95,,一般,,
2017/9/11,CJ1,201709,-,-,-,-,-,-,0,16.5,100,-,-,18.5,15.95,,一般,,
2017/9/12,CJ1,201709,-,-,-,-,-,-,0,16.6,100,-,-,18.5,15.95,,一般,,
2017/9/13,CJ1,201709,-,-,-,-,-,-,0,16.65,100,-,-,18.5,15.95,,一般,,
2017/9/14,CJ1,201709,-,-,-,-,-,-,0,16.5,100,-,-,18.5,15.95,,一般,,
2017/9/15,CJ1,201709,-,-,-,-,-,-,0,16.5,100,16.2,-,18.5,15.95,,一般,,
2017/9/18,CJ1,201709,16.45,16.45,16.45,16.45,-0.05,-0.30%,4,16.55,98,-,-,18.5,15.95,,一般,,
2017/9/19,CJ1,201709,-,-,-,-,-,-,0,16.55,98,-,-,18.5,15.95,,一般,,
2017/9/20,CJ1,201709,16.5,16.5,16.5,16.5,-0.05,-0.30%,5,0,98,16.45,-,18.5,15.95,,一般,,
交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2018/08/16,CJ1,201809  ,-,-,-,-,-,-,0.0,17.45,148,17.3,17.45,18.85,17.6,,一般,,
2018/08/16,CJ1,201812  ,-,-,-,-,-,-,0.0,17.4,1,-,-,17.85,16.95,,一般,,
2018/08/17,CJ1,201809  ,17.55,17.55,17.5,17.5,0.05,0.29%,22.0,17.55,146,-,17.55,18.85,17.5,,一般,,
2018/08/17,CJ1,201812  ,-,-,-,-,-,-,0.0,17.5,1,-,-,17.85,16.95,,一般,,
2018/08/20,CJ1,201809  ,17.7,17.7,17.7,17.7,0.15,0.85%,6.0,17.7,146,16.5,17.75,18.85,17.5,,一般,,
2018/08/20,CJ1,201812  ,17.65,17.8,17.65,17.8,0.3,1.71%,20.0,17.8,21,16.45,18.55,17.85,16.95,,一般,,
2018/08/21,CJ1,201809  ,17.75,17.75,17.75,17.75,0.05,0.28%,1.0,17.85,146,17.3,18.55,18.85,17.5,,一般,,
