交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,DU1,201501,63.2,63.4,63.2,63.4,0.6,0.96%,8,63.5,72,63,63.9,63.7,15.75,,
2015/1/5,DU1,201503,-,-,-,-,-,-,-,63.5,48,62.6,64,21.5,14.3,,
2015/1/5,DU1,201506,-,-,-,-,-,-,-,63.4,1,-,-,16.95,16.95,,
2015/1/5,DU1,201509,-,-,-,-,-,-,-,63.9,1,-,-,16.9,16.9,,
2015/1/6,DU1,201501,-,-,-,-,-,-,-,62.0,72,61.7,62.5,63.7,15.75,,
2015/1/6,DU1,201503,-,-,-,-,-,-,-,62.0,48,61.2,62.5,21.5,14.3,,
2015/1/6,DU1,201506,-,-,-,-,-,-,-,61.9,1,-,-,16.95,16.95,,
2015/1/6,DU1,201509,-,-,-,-,-,-,-,62.4,1,-,-,16.9,16.9,,
2015/1/7,DU1,201501,-,-,-,-,-,-,-,62.2,72,62.1,62.5,63.7,15.75,,
2015/1/7,DU1,201503,-,-,-,-,-,-,-,62.2,48,62,62.7,21.5,14.3,,
2015/1/7,DU1,201506,-,-,-,-,-,-,-,62.1,1,-,-,16.95,16.95,,
2015/1/7,DU1,201509,-,-,-,-,-,-,-,62.6,1,-,-,16.9,16.9,,
2015/1/8,DU1,201501,-,-,-,-,-,-,-,62.8,72,62.5,63.1,63.7,15.75,,
2015/1/8,DU1,201503,-,-,-,-,-,-,-,62.8,48,62.5,63.9,21.5,14.3,,
2015/1/8,DU1,201506,-,-,-,-,-,-,-,62.7,1,-,-,16.95,16.95,,
2015/1/8,DU1,201509,-,-,-,-,-,-,-,63.2,1,-,-,16.9,16.9,,
2015/1/9,DU1,201501,-,-,-,-,-,-,-,62.4,72,62.2,63.1,63.7,15.75,,
2015/1/9,DU1,201503,-,-,-,-,-,-,-,62.6,48,61.5,63.6,21.5,14.3,,
2015/1/9,DU1,201506,-,-,-,-,-,-,-,62.5,1,-,-,16.95,16.95,,
2015/1/9,DU1,201509,-,-,-,-,-,-,-,62.8,1,-,-,16.9,16.9,,
2015/1/12,DU1,201501,-,-,-,-,-,-,-,63.9,72,62.9,64,63.7,15.75,,
2015/1/12,DU1,201503,-,-,-,-,-,-,-,64.1,48,62.8,64.5,21.5,14.3,,
2015/1/12,DU1,201506,-,-,-,-,-,-,-,64.0,1,-,-,16.95,16.95,,
2015/1/12,DU1,201509,-,-,-,-,-,-,-,64.3,1,-,-,16.9,16.9,,
2015/1/13,DU1,201501,-,-,-,-,-,-,-,62.8,72,62.3,63.2,63.7,15.75,,
2015/1/13,DU1,201503,-,-,-,-,-,-,-,63.0,48,61.9,63.9,21.5,14.3,,
2015/1/13,DU1,201506,-,-,-,-,-,-,-,62.9,1,-,-,16.95,16.95,,
2015/1/13,DU1,201509,-,-,-,-,-,-,-,63.2,1,-,-,16.9,16.9,,
2015/1/14,DU1,201501,-,-,-,-,-,-,-,62.4,72,61.9,62.7,63.7,15.75,,
2015/1/14,DU1,201503,62.6,62.6,62.6,62.6,-0.4,-0.63%,2,62.6,46,61.9,62.7,62.6,14.3,,
2015/1/14,DU1,201506,-,-,-,-,-,-,-,62.5,1,-,-,16.95,16.95,,
2015/1/14,DU1,201509,-,-,-,-,-,-,-,62.8,1,-,-,16.9,16.9,,
2015/1/15,DU1,201501,-,-,-,-,-,-,-,63.1,72,62.5,63.2,63.7,15.75,,
2015/1/15,DU1,201503,-,-,-,-,-,-,-,63.3,46,61.9,63.4,62.6,14.3,,
2015/1/15,DU1,201506,-,-,-,-,-,-,-,63.2,1,-,-,16.95,16.95,,
2015/1/15,DU1,201509,-,-,-,-,-,-,-,63.5,1,-,-,16.9,16.9,,
2015/1/16,DU1,201501,60.5,60.5,60.5,60.5,-2.6,-4.12%,3,60.5,72,59.8,60.3,63.7,15.75,,
2015/1/16,DU1,201503,-,-,-,-,-,-,-,60.7,46,59.9,60.3,62.6,14.3,,
2015/1/16,DU1,201506,-,-,-,-,-,-,-,60.6,1,-,-,16.95,16.95,,
2015/1/16,DU1,201509,-,-,-,-,-,-,-,60.9,1,-,-,16.9,16.9,,
2015/1/19,DU1,201501,-,-,-,-,-,-,-,58.2,72,57.3,58.7,63.7,15.75,,
2015/1/19,DU1,201503,-,-,-,-,-,-,-,58.4,46,57.6,58.7,62.6,14.3,,
2015/1/19,DU1,201506,-,-,-,-,-,-,-,58.3,1,-,-,16.95,16.95,,
2015/1/19,DU1,201509,-,-,-,-,-,-,-,58.6,1,-,-,16.9,16.9,,
2015/1/20,DU1,201501,59.4,59.4,59.4,59.4,1.2,2.06%,3,59.1,69,58.6,59.4,63.7,15.75,,
2015/1/20,DU1,201503,-,-,-,-,-,-,-,59.1,46,58.4,59.7,62.6,14.3,,
2015/1/20,DU1,201506,-,-,-,-,-,-,-,59.0,1,-,-,16.95,16.95,,
2015/1/20,DU1,201509,-,-,-,-,-,-,-,59.3,1,-,-,16.9,16.9,,
2015/1/21,DU1,201501,-,-,-,-,-,-,-,0.0,69,58.6,59.5,63.7,15.75,,
2015/1/21,DU1,201503,-,-,-,-,-,-,-,59.1,46,58.7,60.1,62.6,14.3,,
2015/1/21,DU1,201506,-,-,-,-,-,-,-,59.0,1,-,-,16.95,16.95,,
2015/1/21,DU1,201509,-,-,-,-,-,-,-,59.3,1,-,-,16.9,16.9,,
2015/1/22,DU1,201503,-,-,-,-,-,-,-,58.7,46,58.2,59.7,62.6,14.3,,
2015/1/22,DU1,201506,-,-,-,-,-,-,-,58.4,1,-,-,16.95,16.95,,
2015/1/22,DU1,201509,-,-,-,-,-,-,-,58.7,1,-,-,16.9,16.9,,
2015/1/23,DU1,201503,-,-,-,-,-,-,-,58.0,46,57.7,58.2,62.6,14.3,,
2015/1/23,DU1,201506,-,-,-,-,-,-,-,58.0,1,-,-,16.95,16.95,,
2015/1/23,DU1,201509,-,-,-,-,-,-,-,58.0,1,-,-,16.9,16.9,,
2015/1/26,DU1,201503,57.4,57.4,57.4,57.4,-0.6,-1.03%,2,57.4,48,57,57.5,62.6,14.3,,
2015/1/26,DU1,201506,-,-,-,-,-,-,-,57.4,1,-,-,16.95,16.95,,
2015/1/26,DU1,201509,-,-,-,-,-,-,-,57.4,1,-,-,16.9,16.9,,
2015/1/27,DU1,201503,-,-,-,-,-,-,-,56.9,48,56.5,57.1,62.6,14.3,,
2015/1/27,DU1,201506,-,-,-,-,-,-,-,56.9,1,-,-,16.95,16.95,,
2015/1/27,DU1,201509,-,-,-,-,-,-,-,56.9,1,-,-,16.9,16.9,,
2015/1/28,DU1,201503,-,-,-,-,-,-,-,57.0,48,56.7,57.4,62.6,14.3,,
2015/1/28,DU1,201506,-,-,-,-,-,-,-,57.0,1,-,-,16.95,16.95,,
2015/1/28,DU1,201509,-,-,-,-,-,-,-,57.0,1,-,-,16.9,16.9,,
2015/1/29,DU1,201503,-,-,-,-,-,-,-,57.0,48,56.7,57.2,62.6,14.3,,
2015/1/29,DU1,201506,-,-,-,-,-,-,-,57.0,1,-,-,16.95,16.95,,
2015/1/29,DU1,201509,-,-,-,-,-,-,-,57.0,1,-,-,16.9,16.9,,
2015/1/30,DU1,201503,-,-,-,-,-,-,-,56.2,48,55.7,56.7,62.6,14.3,,
2015/1/30,DU1,201506,-,-,-,-,-,-,-,56.2,1,-,-,16.95,16.95,,
