交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,NXF,201501,90.7,91.7,90.4,91.6,0.5,0.55%,33,91.6,59,91.3,91.6,92.5,78.8,,
2015/1/5,NXF,201502,90.4,91.2,90.4,91.2,0.2,0.22%,12,91.2,10,91.2,91.4,92.1,84.3,,
2015/1/5,NXF,201503,-,-,-,-,-,-,-,91.7,0,-,-,-,-,,
2015/1/5,NXF,201506,-,-,-,-,-,-,-,93.1,0,-,-,-,-,,
2015/1/5,NXF,201509,-,-,-,-,-,-,-,93.4,0,-,-,-,-,,
2015/1/6,NXF,201501,91,91.7,90.6,91,-0.6,-0.66%,28,91.0,55,91.1,91.7,92.5,78.8,,
2015/1/6,NXF,201502,90.6,90.6,90.6,90.6,-0.6,-0.66%,1,91.1,10,90.8,91.3,92.1,84.3,,
2015/1/6,NXF,201503,-,-,-,-,-,-,-,91.4,0,-,-,-,-,,
2015/1/6,NXF,201506,-,-,-,-,-,-,-,92.5,0,-,-,-,-,,
2015/1/6,NXF,201509,-,-,-,-,-,-,-,92.8,0,-,-,-,-,,
2015/1/7,NXF,201501,90.7,91.3,90.7,90.9,-0.1,-0.11%,6,90.9,56,90.8,93.3,92.5,78.8,,
2015/1/7,NXF,201502,-,-,-,-,-,-,-,91.0,10,90.8,92.6,92.1,84.3,,
2015/1/7,NXF,201503,-,-,-,-,-,-,-,91.0,0,-,-,-,-,,
2015/1/7,NXF,201506,-,-,-,-,-,-,-,92.4,0,-,-,-,-,,
2015/1/7,NXF,201509,-,-,-,-,-,-,-,92.7,0,-,-,-,-,,
2015/1/8,NXF,201501,91,91,90.2,90.2,-0.7,-0.77%,7,90.2,56,90.2,90.8,92.5,78.8,,
2015/1/8,NXF,201502,91.5,91.5,90.3,90.9,-0.1,-0.11%,3,90.9,9,90,90.9,92.1,84.3,,
2015/1/8,NXF,201503,-,-,-,-,-,-,-,90.0,0,-,-,-,-,,
2015/1/8,NXF,201506,-,-,-,-,-,-,-,91.7,0,-,-,-,-,,
2015/1/8,NXF,201509,-,-,-,-,-,-,-,92.0,0,-,-,-,-,,
2015/1/9,NXF,201501,89.2,89.3,88.4,88.4,-1.8,-2.00%,5,88.4,56,88.4,89.4,92.5,78.8,,
2015/1/9,NXF,201502,89.3,89.5,89.3,89.5,-1.4,-1.54%,2,89.5,7,88.4,89.6,92.1,84.3,,
2015/1/9,NXF,201503,-,-,-,-,-,-,-,88.2,0,-,-,-,-,,
2015/1/9,NXF,201506,-,-,-,-,-,-,-,89.9,0,-,-,-,-,,
2015/1/9,NXF,201509,-,-,-,-,-,-,-,90.2,0,-,-,-,-,,
2015/1/12,NXF,201501,87,87,87,87,-1.4,-1.58%,1,87.0,56,86.8,88.7,92.5,78.8,,
2015/1/12,NXF,201502,86.5,86.5,86.5,86.5,-3,-3.35%,1,87.1,8,85.9,88.3,92.1,84.3,,
2015/1/12,NXF,201503,-,-,-,-,-,-,-,87.1,0,-,-,-,-,,
2015/1/12,NXF,201506,-,-,-,-,-,-,-,88.5,0,-,-,-,-,,
2015/1/12,NXF,201509,-,-,-,-,-,-,-,88.8,0,-,-,-,-,,
2015/1/13,NXF,201501,88,89,88,88.1,1.1,1.26%,4,89.9,56,88,91.8,92.5,78.8,,
2015/1/13,NXF,201502,-,-,-,-,-,-,-,89.7,8,86.9,92.4,92.1,84.3,,
2015/1/13,NXF,201503,-,-,-,-,-,-,-,88.5,0,-,-,-,-,,
2015/1/13,NXF,201506,-,-,-,-,-,-,-,91.4,0,-,-,-,-,,
2015/1/13,NXF,201509,-,-,-,-,-,-,-,91.7,0,-,-,-,-,,
2015/1/14,NXF,201501,88.5,89.8,88.2,88.2,-1.7,-1.89%,20,88.2,57,87.8,96,92.5,78.8,,
2015/1/14,NXF,201502,88.3,88.9,88.3,88.9,-0.8,-0.89%,10,88.9,8,88.4,-,92.1,84.3,,
2015/1/14,NXF,201503,-,-,-,-,-,-,-,88.4,0,-,-,-,-,,
2015/1/14,NXF,201506,-,-,-,-,-,-,-,89.7,0,-,-,-,-,,
2015/1/14,NXF,201509,-,-,-,-,-,-,-,90.0,0,-,-,-,-,,
2015/1/15,NXF,201501,89.1,89.1,88.2,88.2,0,0.00%,7,88.2,57,88.3,89.5,92.5,78.8,,
2015/1/15,NXF,201502,-,-,-,-,-,-,-,88.9,8,87.2,90.1,92.1,84.3,,
2015/1/15,NXF,201503,-,-,-,-,-,-,-,88.4,0,-,-,-,-,,
2015/1/15,NXF,201506,-,-,-,-,-,-,-,89.7,0,-,-,-,-,,
2015/1/15,NXF,201509,-,-,-,-,-,-,-,90.0,0,-,-,-,-,,
2015/1/16,NXF,201501,88,88,86.5,86.5,-1.7,-1.93%,14,86.5,47,86,88.2,92.5,78.8,,
2015/1/16,NXF,201502,87.5,87.5,87.5,87.5,-1.4,-1.57%,2,87.5,10,84.9,89.2,92.1,84.3,,
2015/1/16,NXF,201503,-,-,-,-,-,-,-,87.0,0,-,-,-,-,,
2015/1/16,NXF,201506,-,-,-,-,-,-,-,88.0,0,-,-,-,-,,
2015/1/16,NXF,201509,-,-,-,-,-,-,-,88.3,0,-,-,-,-,,
2015/1/19,NXF,201501,86.2,86.2,86.2,86.2,-0.3,-0.35%,1,86.2,47,86.6,88,92.5,78.8,,
2015/1/19,NXF,201502,-,-,-,-,-,-,-,87.2,10,85.5,89,92.1,84.3,,
2015/1/19,NXF,201503,-,-,-,-,-,-,-,87.1,0,-,-,-,-,,
2015/1/19,NXF,201506,-,-,-,-,-,-,-,87.7,0,-,-,-,-,,
2015/1/19,NXF,201509,-,-,-,-,-,-,-,88.0,0,-,-,-,-,,
2015/1/20,NXF,201501,87.5,88,86.5,86.5,0.3,0.35%,10,87.3,43,86.2,88.3,92.5,78.8,,
2015/1/20,NXF,201502,87.9,87.9,87.5,87.5,0.3,0.34%,3,87.5,8,-,-,92.1,84.3,,
2015/1/20,NXF,201503,-,-,-,-,-,-,-,87.6,0,-,-,-,-,,
2015/1/20,NXF,201506,-,-,-,-,-,-,-,88.2,0,-,-,-,-,,
2015/1/20,NXF,201509,-,-,-,-,-,-,-,88.5,0,-,-,-,-,,
2015/1/21,NXF,201501,89,89.5,88.9,88.9,1.6,1.83%,6,0.0,39,88.8,-,92.5,78.8,,
2015/1/21,NXF,201502,90,90,89,89.4,1.9,2.17%,16,89.4,17,88.4,89.5,92.1,84.3,,
2015/1/21,NXF,201503,-,-,-,-,-,-,-,89.5,0,-,-,-,-,,
2015/1/21,NXF,201506,-,-,-,-,-,-,-,89.8,0,-,-,-,-,,
2015/1/21,NXF,201509,-,-,-,-,-,-,-,90.1,0,-,-,-,-,,
2015/1/22,NXF,201502,91.1,91.1,90.6,90.6,1.2,1.34%,2,90.6,18,-,91.2,92.1,84.3,,
2015/1/22,NXF,201503,-,-,-,-,-,-,-,90.7,0,-,91.8,-,-,,
2015/1/22,NXF,201506,-,-,-,-,-,-,-,91.0,0,-,-,-,-,,
2015/1/22,NXF,201509,-,-,-,-,-,-,-,91.3,0,-,-,-,-,,
2015/1/22,NXF,201512,-,-,-,-,-,-,-,91.3,0,-,-,-,-,,
2015/1/23,NXF,201502,90.9,91.6,90.7,91,0.4,0.44%,25,91.0,12,90.4,93.2,92.1,84.3,,
2015/1/23,NXF,201503,91.4,91.4,90.7,90.7,0,0.00%,11,91.1,1,90.2,93.8,91.4,90.7,,
2015/1/23,NXF,201506,-,-,-,-,-,-,-,91.4,0,-,-,-,-,,
2015/1/23,NXF,201509,-,-,-,-,-,-,-,91.7,0,-,-,-,-,,
2015/1/23,NXF,201512,-,-,-,-,-,-,-,91.7,0,-,-,-,-,,
2015/1/26,NXF,201502,91.3,91.6,90.7,90.7,-0.3,-0.33%,20,90.7,28,90.2,-,92.1,84.3,,
2015/1/26,NXF,201503,-,-,-,-,-,-,-,90.8,1,89.6,-,91.4,90.7,,
2015/1/26,NXF,201506,-,-,-,-,-,-,-,91.1,0,-,-,-,-,,
2015/1/26,NXF,201509,-,-,-,-,-,-,-,91.4,0,-,-,-,-,,
2015/1/26,NXF,201512,-,-,-,-,-,-,-,91.4,0,-,-,-,-,,
2015/1/27,NXF,201502,91.8,91.8,91,91,0.3,0.33%,7,91.0,35,90.9,96.9,92.1,84.3,,
2015/1/27,NXF,201503,91.5,91.5,91.5,91.5,0.7,0.77%,5,91.1,6,90.3,-,91.5,90.7,,
2015/1/27,NXF,201506,-,-,-,-,-,-,-,91.4,0,-,-,-,-,,
2015/1/27,NXF,201509,-,-,-,-,-,-,-,91.7,0,-,-,-,-,,
2015/1/27,NXF,201512,-,-,-,-,-,-,-,91.7,0,-,-,-,-,,
2015/1/28,NXF,201502,91.8,91.8,91.2,91.7,0.7,0.77%,9,91.7,42,91,93.6,92.1,84.3,,
2015/1/28,NXF,201503,-,-,-,-,-,-,-,91.8,6,90.4,94.2,91.5,90.7,,
2015/1/28,NXF,201506,-,-,-,-,-,-,-,92.1,0,-,-,-,-,,
2015/1/28,NXF,201509,-,-,-,-,-,-,-,92.4,0,-,-,-,-,,
2015/1/28,NXF,201512,-,-,-,-,-,-,-,92.4,0,-,-,-,-,,
2015/1/29,NXF,201502,92.1,92.4,89.9,89.9,-1.8,-1.96%,15,89.9,45,89.8,92,92.4,84.3,,
2015/1/29,NXF,201503,-,-,-,-,-,-,-,90.0,6,89.2,92.6,91.5,90.7,,
2015/1/29,NXF,201506,-,-,-,-,-,-,-,90.3,0,-,-,-,-,,
2015/1/29,NXF,201509,-,-,-,-,-,-,-,90.6,0,-,-,-,-,,
2015/1/29,NXF,201512,-,-,-,-,-,-,-,90.6,0,-,-,-,-,,
2015/1/30,NXF,201502,90,90.5,89.9,89.9,0,0.00%,3,89.9,44,90,90.6,92.4,84.3,,
2015/1/30,NXF,201503,89.9,89.9,89.9,89.9,-0.1,-0.11%,1,89.9,6,89.5,91.7,91.5,89.9,,
2015/1/30,NXF,201506,-,-,-,-,-,-,-,90.3,0,-,-,-,-,,
2015/1/30,NXF,201509,-,-,-,-,-,-,-,90.6,0,-,-,-,-,,
2015/1/30,NXF,201512,-,-,-,-,-,-,-,90.6,0,-,-,-,-,,
2015/2/2,NXF,201502,90.1,90.4,89.5,90.2,0.3,0.33%,15,90.2,44,90,91.7,92.4,84.3,,
2015/2/2,NXF,201503,89.5,89.5,89.5,89.5,-0.4,-0.44%,5,90.2,11,89.7,90.6,91.5,89.5,,
2015/2/2,NXF,201506,-,-,-,-,-,-,-,90.6,0,-,-,-,-,,
2015/2/2,NXF,201509,-,-,-,-,-,-,-,90.9,0,-,-,-,-,,
2015/2/2,NXF,201512,-,-,-,-,-,-,-,90.9,0,-,-,-,-,,
2015/2/3,NXF,201502,91.3,91.3,90.5,90.8,0.6,0.67%,28,90.8,44,91.1,96.3,92.4,84.3,,
2015/2/3,NXF,201503,90.5,91.4,90.5,90.5,0.3,0.33%,16,90.5,6,90,95.5,91.5,89.5,,
2015/2/3,NXF,201506,-,-,-,-,-,-,-,91.2,0,-,-,-,-,,
2015/2/3,NXF,201509,-,-,-,-,-,-,-,91.5,0,-,-,-,-,,
2015/2/3,NXF,201512,-,-,-,-,-,-,-,91.5,0,-,-,-,-,,
2015/2/4,NXF,201502,91.7,91.8,90.5,91,0.2,0.22%,20,91.0,44,91,92.4,92.4,84.3,,
2015/2/4,NXF,201503,90.5,91.2,90.5,91.2,0.7,0.77%,10,91.4,6,89.9,93.5,91.5,89.5,,
2015/2/4,NXF,201506,-,-,-,-,-,-,-,91.4,0,-,-,-,-,,
2015/2/4,NXF,201509,-,-,-,-,-,-,-,91.7,0,-,-,-,-,,
2015/2/4,NXF,201512,-,-,-,-,-,-,-,91.7,0,-,-,-,-,,
2015/2/5,NXF,201502,92,92,91,91,0,0.00%,5,91.0,42,90.5,95.7,92.4,84.3,,
2015/2/5,NXF,201503,-,-,-,-,-,-,-,91.4,6,-,-,91.5,89.5,,
2015/2/5,NXF,201506,-,-,-,-,-,-,-,91.4,0,-,-,-,-,,
2015/2/5,NXF,201509,-,-,-,-,-,-,-,91.7,0,-,-,-,-,,
2015/2/5,NXF,201512,-,-,-,-,-,-,-,91.7,0,-,-,-,-,,
2015/2/6,NXF,201502,91.7,93.1,91.6,91.6,0.6,0.66%,42,91.6,38,91.2,94.8,93.1,84.3,,
2015/2/6,NXF,201503,92.5,92.5,92.1,92.1,0.7,0.77%,21,92.1,7,92,-,92.5,89.5,,
2015/2/6,NXF,201506,-,-,-,-,-,-,-,92.0,0,-,-,-,-,,
2015/2/6,NXF,201509,-,-,-,-,-,-,-,92.3,0,-,-,-,-,,
2015/2/6,NXF,201512,-,-,-,-,-,-,-,92.3,0,-,-,-,-,,
2015/2/9,NXF,201502,90.8,91.5,90,90,-1.6,-1.75%,11,90.0,33,89.8,91,93.1,84.3,,
2015/2/9,NXF,201503,91,91.5,91,91.5,-0.6,-0.65%,5,90.5,6,89,-,92.5,89.5,,
2015/2/9,NXF,201506,-,-,-,-,-,-,-,90.4,0,-,-,-,-,,
2015/2/9,NXF,201509,-,-,-,-,-,-,-,90.7,0,-,-,-,-,,
2015/2/9,NXF,201512,-,-,-,-,-,-,-,90.7,0,-,-,-,-,,
2015/2/10,NXF,201502,90,90,84.2,88.4,-1.6,-1.78%,4,88.4,33,87,89.3,93.1,84.2,,
2015/2/10,NXF,201503,-,-,-,-,-,-,-,88.9,6,85.1,-,92.5,89.5,,
2015/2/10,NXF,201506,-,-,-,-,-,-,-,88.8,0,-,-,-,-,,
2015/2/10,NXF,201509,-,-,-,-,-,-,-,89.1,0,-,-,-,-,,
2015/2/10,NXF,201512,-,-,-,-,-,-,-,89.1,0,-,-,-,-,,
2015/2/11,NXF,201502,87.5,88.7,87.5,88.7,0.3,0.34%,12,88.7,38,88.4,90,93.1,84.2,,
2015/2/11,NXF,201503,-,-,-,-,-,-,-,89.2,6,88.4,-,92.5,89.5,,
2015/2/11,NXF,201506,-,-,-,-,-,-,-,89.1,0,-,-,-,-,,
2015/2/11,NXF,201509,-,-,-,-,-,-,-,89.4,0,-,-,-,-,,
2015/2/11,NXF,201512,-,-,-,-,-,-,-,89.4,0,-,-,-,-,,
2015/2/12,NXF,201502,88.6,89,88.3,88.8,0.1,0.11%,41,88.8,32,88.4,88.8,93.1,84.2,,
2015/2/12,NXF,201503,89.3,89.3,88.5,88.5,-0.7,-0.78%,10,88.5,8,88.3,-,92.5,88.5,,
2015/2/12,NXF,201506,-,-,-,-,-,-,-,89.2,0,-,-,-,-,,
2015/2/12,NXF,201509,-,-,-,-,-,-,-,89.5,0,-,-,-,-,,
2015/2/12,NXF,201512,-,-,-,-,-,-,-,89.5,0,-,-,-,-,,
2015/2/13,NXF,201502,89,90,88.8,88.8,0,0.00%,14,88.8,33,88.7,90,93.1,84.2,,
2015/2/13,NXF,201503,90.1,90.1,89.7,89.7,1.2,1.36%,8,89.7,8,85.1,-,92.5,88.5,,
2015/2/13,NXF,201506,-,-,-,-,-,-,-,89.2,0,-,-,-,-,,
2015/2/13,NXF,201509,-,-,-,-,-,-,-,89.5,0,-,-,-,-,,
2015/2/13,NXF,201512,-,-,-,-,-,-,-,89.5,0,-,-,-,-,,
2015/2/24,NXF,201502,90.9,92,90.9,92,3.2,3.60%,2,0.0,31,89.2,92.7,93.1,84.2,,
2015/2/24,NXF,201503,90.5,92.2,90.5,91.9,2.2,2.45%,30,90.7,30,86.9,95.8,92.5,88.5,,
2015/2/24,NXF,201506,-,-,-,-,-,-,-,90.2,0,-,-,-,-,,
2015/2/24,NXF,201509,-,-,-,-,-,-,-,90.5,0,-,-,-,-,,
2015/2/24,NXF,201512,-,-,-,-,-,-,-,90.5,0,-,-,-,-,,
2015/2/25,NXF,201503,91.4,91.8,91,91,0.3,0.33%,26,91.0,38,90,91.8,92.5,88.5,,
2015/2/25,NXF,201504,-,-,-,-,-,-,-,91.0,0,89.4,92.4,-,-,,
2015/2/25,NXF,201506,-,-,-,-,-,-,-,90.5,0,-,-,-,-,,
2015/2/25,NXF,201509,-,-,-,-,-,-,-,90.8,0,-,-,-,-,,
2015/2/25,NXF,201512,-,-,-,-,-,-,-,90.8,0,-,-,-,-,,
2015/2/26,NXF,201503,91.5,91.8,91.1,91.3,0.3,0.33%,30,91.3,43,91.1,92,92.5,88.5,,
2015/2/26,NXF,201504,-,-,-,-,-,-,-,91.3,0,90.5,92.6,-,-,,
2015/2/26,NXF,201506,-,-,-,-,-,-,-,90.8,0,-,-,-,-,,
2015/2/26,NXF,201509,-,-,-,-,-,-,-,91.1,0,-,-,-,-,,
2015/2/26,NXF,201512,-,-,-,-,-,-,-,91.1,0,-,-,-,-,,
2015/3/2,NXF,201503,91.1,92,90.8,92,0.7,0.77%,15,92.0,48,91.9,92.5,92.5,88.5,,
2015/3/2,NXF,201504,-,-,-,-,-,-,-,92.0,0,91.3,93,-,-,,
2015/3/2,NXF,201506,-,-,-,-,-,-,-,91.5,0,-,-,-,-,,
2015/3/2,NXF,201509,-,-,-,-,-,-,-,91.8,0,-,-,-,-,,
2015/3/2,NXF,201512,-,-,-,-,-,-,-,91.8,0,-,-,-,-,,
2015/3/3,NXF,201503,93.3,96,93.3,94.3,2.3,2.50%,28,94.3,45,94.2,95.4,96,88.5,,
2015/3/3,NXF,201504,95,95,95,95,3,3.26%,1,95.0,1,94,96,95,95,,
2015/3/3,NXF,201506,-,-,-,-,-,-,-,93.8,0,-,-,-,-,,
2015/3/3,NXF,201509,-,-,-,-,-,-,-,94.1,0,-,-,-,-,,
2015/3/3,NXF,201512,-,-,-,-,-,-,-,94.1,0,-,-,-,-,,
2015/3/4,NXF,201503,95.2,97.3,94.7,96.1,1.8,1.91%,29,96.1,48,96,97.6,97.3,88.5,,
2015/3/4,NXF,201504,96.5,96.7,96.5,96.6,1.6,1.68%,11,96.6,1,94.6,98.2,96.7,95,,
2015/3/4,NXF,201506,-,-,-,-,-,-,-,95.6,0,-,-,-,-,,
2015/3/4,NXF,201509,-,-,-,-,-,-,-,95.9,0,-,-,-,-,,
2015/3/4,NXF,201512,-,-,-,-,-,-,-,95.9,0,-,-,-,-,,
2015/3/5,NXF,201503,95.8,98.5,95.8,97.5,1.4,1.46%,19,97.5,51,97.2,98.6,98.5,88.5,,
2015/3/5,NXF,201504,98,98.5,98,98.3,1.7,1.76%,19,98.3,5,97.8,99,98.5,95,,
2015/3/5,NXF,201506,-,-,-,-,-,-,-,97.0,0,-,-,-,-,,
2015/3/5,NXF,201509,-,-,-,-,-,-,-,97.3,0,-,-,-,-,,
2015/3/5,NXF,201512,-,-,-,-,-,-,-,97.3,0,-,-,-,-,,
2015/3/6,NXF,201503,99,101,99,99.3,1.8,1.85%,44,99.3,64,99.2,104,101,88.5,,
2015/3/6,NXF,201504,100,100.5,99.4,99.4,1.1,1.12%,9,99.4,8,99.3,104,100.5,95,,
2015/3/6,NXF,201506,-,-,-,-,-,-,-,98.8,0,-,-,-,-,,
2015/3/6,NXF,201509,-,-,-,-,-,-,-,99.1,0,-,-,-,-,,
2015/3/6,NXF,201512,-,-,-,-,-,-,-,99.1,0,-,-,-,-,,
2015/3/9,NXF,201503,100,100.5,99.1,99.1,-0.2,-0.20%,8,99.1,63,99,101,101,88.5,,
2015/3/9,NXF,201504,99.6,100.5,98.8,98.8,-0.6,-0.60%,4,99.2,10,97.4,101,100.5,95,,
2015/3/9,NXF,201506,-,-,-,-,-,-,-,98.6,0,-,-,-,-,,
2015/3/9,NXF,201509,-,-,-,-,-,-,-,98.9,0,-,-,-,-,,
2015/3/9,NXF,201512,-,-,-,-,-,-,-,98.9,0,-,-,-,-,,
2015/3/10,NXF,201503,99.2,100,97.2,97.2,-1.9,-1.92%,11,97.2,66,97,99.5,101,88.5,,
2015/3/10,NXF,201504,99.6,99.6,99.1,99.1,-0.1,-0.10%,3,99.1,10,97,101,100.5,95,,
2015/3/10,NXF,201506,-,-,-,-,-,-,-,96.7,0,-,-,-,-,,
2015/3/10,NXF,201509,-,-,-,-,-,-,-,97.0,0,-,-,-,-,,
2015/3/10,NXF,201512,-,-,-,-,-,-,-,97.0,0,-,-,-,-,,
2015/3/11,NXF,201503,100.5,103,99.5,99.5,2.3,2.37%,38,99.5,72,99.4,102.5,103,88.5,,
2015/3/11,NXF,201504,100,103,99.2,99.2,0.1,0.10%,7,99.2,11,99,102.5,103,95,,
2015/3/11,NXF,201506,-,-,-,-,-,-,-,99.0,0,-,-,-,-,,
2015/3/11,NXF,201509,-,-,-,-,-,-,-,99.3,0,-,-,-,-,,
2015/3/11,NXF,201512,-,-,-,-,-,-,-,99.3,0,-,-,-,-,,
2015/3/12,NXF,201503,101.5,103.5,101.5,101.5,2,2.01%,23,101.5,75,101,102,103.5,88.5,,
2015/3/12,NXF,201504,101.5,103,101.5,101.5,2.3,2.32%,13,101.5,20,101,102,103,95,,
2015/3/12,NXF,201506,-,-,-,-,-,-,-,101.0,0,-,-,-,-,,
2015/3/12,NXF,201509,-,-,-,-,-,-,-,101.5,0,-,-,-,-,,
2015/3/12,NXF,201512,-,-,-,-,-,-,-,101.5,0,-,-,-,-,,
2015/3/13,NXF,201503,101,101,100,100,-1.5,-1.48%,12,100.0,70,100,101,103.5,88.5,,
2015/3/13,NXF,201504,103,103,99.9,100.5,-1,-0.99%,13,100.5,22,100,101,103,95,,
2015/3/13,NXF,201506,-,-,-,-,-,-,-,99.5,0,-,-,-,-,,
2015/3/13,NXF,201509,-,-,-,-,-,-,-,100.0,0,-,-,-,-,,
2015/3/13,NXF,201512,-,-,-,-,-,-,-,100.0,0,-,-,-,-,,
2015/3/16,NXF,201503,102,102,101,102,2,2.00%,21,102.0,65,101,107,103.5,88.5,,
2015/3/16,NXF,201504,101.5,102,101,102,1.5,1.49%,23,102.0,37,101.5,102.5,103,95,,
2015/3/16,NXF,201506,-,-,-,-,-,-,-,101.5,0,-,-,-,-,,
2015/3/16,NXF,201509,-,-,-,-,-,-,-,102.0,0,-,-,-,-,,
2015/3/16,NXF,201512,-,-,-,-,-,-,-,102.0,0,-,-,-,-,,
2015/3/17,NXF,201503,101,101,101,101,-1,-0.98%,8,101.0,65,98.2,101.5,103.5,88.5,,
2015/3/17,NXF,201504,102,102,101,101.5,-0.5,-0.49%,17,101.5,50,101,102.5,103,95,,
2015/3/17,NXF,201506,-,-,-,-,-,-,-,100.5,0,-,-,-,-,,
2015/3/17,NXF,201509,-,-,-,-,-,-,-,101.0,0,-,-,-,-,,
2015/3/17,NXF,201512,-,-,-,-,-,-,-,101.0,0,-,-,-,-,,
2015/3/18,NXF,201503,101.5,102,99.6,100,-1,-0.99%,51,0.0,45,100,100.5,103.5,88.5,,
2015/3/18,NXF,201504,101.5,102.5,100,101,-0.5,-0.49%,67,101.0,83,101.5,108,103,95,,
2015/3/18,NXF,201506,-,-,-,-,-,-,-,100.0,0,-,-,-,-,,
2015/3/18,NXF,201509,-,-,-,-,-,-,-,100.5,0,-,-,-,-,,
2015/3/18,NXF,201512,-,-,-,-,-,-,-,100.5,0,-,-,-,-,,
2015/3/19,NXF,201504,101,102,100,100.5,-0.5,-0.50%,19,100.5,92,100.5,102,103,95,,
2015/3/19,NXF,201505,-,-,-,-,-,-,-,101.0,0,100,103,-,-,,
2015/3/19,NXF,201506,-,-,-,-,-,-,-,99.5,0,-,-,-,-,,
2015/3/19,NXF,201509,-,-,-,-,-,-,-,100.0,0,-,-,-,-,,
2015/3/19,NXF,201512,-,-,-,-,-,-,-,100.0,0,-,-,-,-,,
2015/3/20,NXF,201504,101.5,107.5,101.5,107.5,7,6.97%,41,107.5,106,107.5,-,107.5,95,,
2015/3/20,NXF,201505,-,-,-,-,-,-,-,108.0,0,107.5,-,-,-,,
2015/3/20,NXF,201506,-,-,-,-,-,-,-,106.0,0,-,-,-,-,,
2015/3/20,NXF,201509,-,-,-,-,-,-,-,107.0,0,-,-,-,-,,
2015/3/20,NXF,201512,-,-,-,-,-,-,-,107.0,0,-,-,-,-,,
2015/3/23,NXF,201504,109,109,106,108.5,1,0.93%,47,108.5,123,108,109.5,109,95,,
2015/3/23,NXF,201505,-,-,-,-,-,-,-,108.5,0,106,110.5,-,-,,
2015/3/23,NXF,201506,-,-,-,-,-,-,-,107.0,0,-,-,-,-,,
2015/3/23,NXF,201509,-,-,-,-,-,-,-,108.0,0,-,-,-,-,,
2015/3/23,NXF,201512,-,-,-,-,-,-,-,108.0,0,-,-,-,-,,
2015/3/24,NXF,201504,109.5,111.5,109,110,1.5,1.38%,75,110.0,141,110,111,111.5,95,,
2015/3/24,NXF,201505,109.5,110,109.5,110,1.5,1.38%,5,110.0,5,109.5,111.5,110,109.5,,
2015/3/24,NXF,201506,-,-,-,-,-,-,-,108.5,0,-,-,-,-,,
2015/3/24,NXF,201509,-,-,-,-,-,-,-,109.5,0,-,-,-,-,,
2015/3/24,NXF,201512,-,-,-,-,-,-,-,109.5,0,-,-,-,-,,
2015/3/25,NXF,201504,109.5,110.5,107,110,0,0.00%,29,110.0,145,109.5,111,111.5,95,,
2015/3/25,NXF,201505,108,110.5,108,110.5,0.5,0.45%,6,110.5,8,107.5,112,110.5,108,,
2015/3/25,NXF,201506,-,-,-,-,-,-,-,108.5,0,-,-,-,-,,
2015/3/25,NXF,201509,-,-,-,-,-,-,-,109.5,0,-,-,-,-,,
2015/3/25,NXF,201512,-,-,-,-,-,-,-,109.5,0,-,-,-,-,,
2015/3/26,NXF,201504,107.5,111.5,106,107.5,-2.5,-2.27%,27,107.5,143,106.5,108,111.5,95,,
2015/3/26,NXF,201505,111,111,106.5,108,-2.5,-2.26%,5,108.0,6,105,108,111,106.5,,
2015/3/26,NXF,201506,-,-,-,-,-,-,-,106.0,0,-,-,-,-,,
2015/3/26,NXF,201509,-,-,-,-,-,-,-,107.0,0,-,-,-,-,,
2015/3/26,NXF,201512,-,-,-,-,-,-,-,107.0,0,-,-,-,-,,
2015/3/27,NXF,201504,107.5,107.5,104,104.5,-3,-2.79%,34,104.5,126,104,105.5,111.5,95,,
2015/3/27,NXF,201505,106,106.5,105,105,-3,-2.78%,10,105.0,4,102.5,106,111,105,,
2015/3/27,NXF,201506,-,-,-,-,-,-,-,103.0,0,-,-,-,-,,
2015/3/27,NXF,201509,-,-,-,-,-,-,-,104.0,0,-,-,-,-,,
2015/3/27,NXF,201512,-,-,-,-,-,-,-,104.0,0,-,-,-,-,,
2015/3/30,NXF,201504,103.5,103.5,97.3,97.3,-7.2,-6.89%,17,97.3,121,-,97.2,111.5,95,,
2015/3/30,NXF,201505,99.7,99.7,99.7,99.7,-5.3,-5.05%,2,97.7,4,-,97.7,111,99.7,,
2015/3/30,NXF,201506,-,-,-,-,-,-,-,95.8,0,-,-,-,-,,
2015/3/30,NXF,201509,-,-,-,-,-,-,-,96.8,0,-,-,-,-,,
2015/3/30,NXF,201512,-,-,-,-,-,-,-,96.8,0,-,-,-,-,,
2015/3/31,NXF,201504,98,99.9,94,99.7,2.4,2.47%,30,99.7,110,97,100.5,111.5,94,,
2015/3/31,NXF,201505,99.6,99.6,99.6,99.6,1.9,1.94%,2,99.6,3,95.5,100.5,111,99.6,,
2015/3/31,NXF,201506,-,-,-,-,-,-,-,98.2,0,-,-,-,-,,
2015/3/31,NXF,201509,-,-,-,-,-,-,-,99.2,0,-,-,-,-,,
2015/3/31,NXF,201512,-,-,-,-,-,-,-,99.2,0,-,-,-,-,,
2015/4/1,NXF,201504,99.9,99.9,98,98.9,-0.8,-0.80%,8,98.9,112,96.3,98.9,111.5,94,,
2015/4/1,NXF,201505,100.5,100.5,98.5,98.5,-1.1,-1.10%,2,98.5,4,94.8,99.5,111,98.5,,
